CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,C1,NA1,MG1,AL1,SI1,SI2,CA1,SC1,SC2,TI1,TI2,V1,CR1,CR2,MN1,FE1,FE2,CO1,NI1,CU1,ZN1,Y2,ZR1,BA2,LA2,CE2,ND2,EU2
06302210-0442091,NGC2232,97.59208333333169,-4.702527777777698,59.816936,5115.0,26.0,3.3473506,0.043573192999999996,-0.04874076,-6.254050299999999,0.36531213,8.03,6.06,7.46,6.3799996,7.4,7.05,6.34,3.0,3.3200002,4.97,4.91,4.04,5.54,5.44,5.38,7.36,7.39,4.87,6.18,4.07,4.604,2.05,2.72,2.004,1.05,1.7900001,1.69,0.38
06251103-0447232,NGC2232,96.2959583333317,-4.789777777777696,62.144413,4932.0,0.0,3.86,0.0,0.02,-0.0547,0.32161534,,,,,,,,,,,,,,,,7.1299996,7.7099996,,,,,,,,,,,
06271055-0446482,NGC2232,96.7939583333317,-4.780055555555474,145.30864,11798.0,750.0,4.18107,0.2,0.0,24.952799,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06261769-0432240,NGC2232,96.57370833333172,-4.539999999999924,204.14363,17172.0,750.0,4.04321,0.2,0.0,38.399998,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06284715-0420108,NGC2232,97.19645833333168,-4.3363333333332585,157.63297,10100.0,750.0,4.2,0.2,-0.3,47.6089,0.31164023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06283953-0424474,NGC2232,97.16470833333167,-4.4131666666665925,103.68297,4693.0,24.0,2.4865253,0.071712166,-0.028856898,60.3703,0.36463714,7.98,6.24,7.43,6.39,7.52,7.36,6.4,2.94,3.3700001000000004,4.9,4.97,4.03,5.58,5.56,5.33,7.4,7.49,4.94,6.17,4.2,4.324,2.16,2.6,2.2740002,1.07,1.7900001,1.72,0.38
06255461-0448200,NGC2232,96.47754166666503,-4.805555555555474,91.84227,5148.0,7.0,2.9606904999999997,0.017504218999999998,-0.17138952,61.7854,0.36471558,7.95,6.1099997,7.37,6.25,7.28,7.17,6.29,2.81,3.14,4.75,4.71,3.8799998999999996,5.43,5.36,5.18,7.26,7.3,4.72,5.96,3.82,4.284,1.86,2.48,2.0440001,0.91,1.6800001,1.5,0.26
06274913-0512421,NGC2232,96.95470833333168,-5.2116944444443565,72.09385999999998,5036.0,14.0,2.7710470000000003,0.07055238,-0.22417052,63.092453000000006,0.36499770000000004,7.78,6.04,7.2799997,6.27,7.31,7.06,6.2400002,2.92,3.27,4.73,4.81,3.8899998999999994,5.35,5.3,5.14,7.23,7.27,4.78,6.01,4.0,4.284,1.81,2.34,2.004,0.82,1.61,1.53,0.37
06284491-0430195,NGC2232,97.18712499999836,-4.505416666666591,63.10526700000001,4800.0,60.0,2.5887873,0.12512314,-0.24198264,64.26155,0.3652573,,6.0899997,7.259999799999999,6.19,7.27,7.04,6.23,2.92,3.24,4.82,4.81,3.9399998,5.42,5.2200003,5.1,7.18,7.23,4.83,6.03,3.99,4.384000299999999,1.84,2.44,1.954,0.86,1.6600001,1.65,0.37
06275034-0441552,NGC2232,96.95974999999837,-4.698666666666587,126.20238,5733.0,103.0,2.084778,0.071163155,-0.57997227,65.54259499999999,0.36538193,7.31,6.0699997,7.3,5.7999997,7.09,6.89,6.0,,2.64,4.54,4.34,3.5870001000000005,4.99,4.915,4.85,6.94,6.87,4.46,5.71,3.6,3.9739999999999998,1.33,2.76,1.9240000000000002,0.5,1.0,1.02,-0.13
06274892-0458366,NGC2232,96.95383333333169,-4.976833333333249,81.474525,4990.0,38.0,2.8872392000000002,0.086250834,-0.08628162,67.28485,0.3648637,7.92,6.2799997,7.41,6.3799996,7.4,7.19,6.35,3.08,3.4,4.93,4.91,4.06,5.43,5.35,5.28,7.34,7.37,4.94,6.15,4.09,4.4639999999999995,2.03,2.52,2.0440001,0.91,1.71,1.62,0.45
06255787-0425266,NGC2232,96.49112499999838,-4.424055555555482,40.40913,5227.0,94.0,3.1857202,0.18394835,-0.024971217,79.8244,0.36620995,8.07,6.29,7.39,6.22,7.43,7.24,6.39,3.1,3.3600001000000006,4.98,4.85,4.07,5.56,5.64,5.39,7.38,7.51,4.98,6.15,4.09,4.6140003,2.25,3.04,2.144,1.28,1.96,1.78,0.6
06254941-0453169,NGC2232,96.4558749999984,-4.8880277777776975,83.212975,6262.0,0.0,3.78,0.0,-0.1,90.49555,0.36742175,,,,,,,,,,,,,,,,7.1,7.8399997,,,,,,,,,,,
06260369-0425057,NGC2232,96.51537499999836,-4.418249999999924,177.70825,5040.0,43.0,3.2724203999999997,0.08454728,-0.14979114,107.55835,0.36027247,8.02,5.94,7.22,,7.3,,6.35,2.91,3.3000002,4.8,4.84,3.937,5.42,5.42,5.15,7.33,7.3,4.72,6.14,4.03,4.4639999999999995,2.38,2.79,2.484,1.14,1.86,1.76,
06281610-0447046,NGC2232,97.06708333333168,-4.78461111111103,111.15449,4833.0,23.0,2.770182,0.13750076,-0.41811925,121.66755,0.36550263,7.64,5.81,7.0699997,6.06,7.03,7.19,6.03,2.73,2.94,4.56,4.47,3.75,5.14,5.055,4.84,6.92,7.04,4.51,5.62,3.49,3.824000100000001,1.67,2.25,1.8740001,0.84,1.32,1.25,0.07000001
06250101-0440001,NGC2232,96.25420833333172,-4.666694444444365,156.92805,8991.0,750.0,3.0831627999999998,0.7,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06281222-0431438,NGC2232,97.05091666666505,-4.5288333333332575,229.89775,8173.0,750.0,3.2044544,0.45,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06293646-3117402,NGC2243,97.40191666666502,-31.29449999999948,90.7713,5208.0,60.0,4.6145024,0.11632519,-0.08,-16.079199,0.36557823,,6.04,7.45,6.35,7.43,7.34,6.271,3.2539999999999996,3.2,4.96,4.95,4.127,5.56,5.6549997,5.39,7.34,7.41,4.8,6.12,3.99,4.584,2.06,,1.984,,,,
06295252-3121339,NGC2243,97.46883333333167,-31.359416666666146,76.78495,6088.0,58.0,4.288223,0.114859305,-0.146,2.7241502,0.36597708,8.01,5.84,7.09,6.13,7.17,7.33,5.851,,2.81,4.76,4.61,4.0969999999999995,5.26,5.325,5.05,7.2,7.24,4.7,5.8,3.87,4.224,1.98,,1.544,,,1.37,
06292841-3117174,NGC2243,97.36837499999837,-31.28816666666615,193.6315,4149.0,60.0,1.3365288,0.114205495,-0.535,59.12715,0.36438304,,5.78,7.12,5.99,7.16,,5.901,2.714,2.72,4.39,4.47,3.5670002,5.03,4.9649997,,6.86,6.91,4.51,5.69,3.64,3.944,1.63,1.94,1.7540001,0.53,1.21,1.11,0.09
06293385-3107310,NGC2243,97.39104166666502,-31.125277777777253,100.35641,4846.0,61.0,2.5985452999999996,0.116020724,-0.42,93.48025,0.3651553,8.14,5.83,7.39,6.23,7.34,7.29,6.181,2.864,2.96,4.69,4.85,3.717,5.11,5.0049996,4.77,6.99,7.04,4.6,5.83,3.77,4.4639999999999995,1.6,2.25,1.4940001,0.45,1.0999999,1.09,0.16
06410374+1007248,NGC2264,100.26558333333165,10.123555555555383,78.40275,4912.0,71.0,4.3615294,0.06281279,-0.13504386,-48.879898,0.36709186,,6.2,7.56,,7.29,,6.4900002,3.26,3.26,5.09,4.89,4.27,5.53,,,7.35,7.17,4.82,6.03,,,1.96,2.61,1.8,2.47,2.8799999,,
06411701+0957120,NGC2264,100.32087499999832,9.953333333333164,129.795,6056.0,40.0,3.8660238,0.035262566,-0.37464035,-35.223,0.36464986,,5.8199997,7.11,6.16,7.11,,6.1600003,,2.93,4.51,4.52,,5.17,,,7.11,7.05,4.69,5.82,,,1.51,,1.7099999,0.69,,,
06402313+0956198,NGC2264,100.09637499999829,9.938833333333166,86.84232,4700.0,74.0,4.587853,0.11338098,-0.08153114,-24.715649,0.36746840000000003,,,7.56,6.5099998,7.35,,6.73,3.38,3.38,5.22,,4.4,5.63,6.1800003,,7.42,7.43,4.93,6.15,,,2.95,3.02,,1.5,2.85,,
06404634+0911008,NGC2264,100.19308333333164,9.183555555555401,61.882412,5664.0,41.0,4.4181523,0.018824288999999998,-0.09303549,-18.12115,0.36598617,,5.97,7.34,6.37,7.29,,6.4100003,,3.2900002,4.91,4.83,4.05,5.52,5.6,,7.35,7.3,4.89,6.14,,,1.99,,2.01,,,,
06403720+0926513,NGC2264,100.1549999999983,9.447583333333174,235.97156,6074.0,11.0,4.1953830000000005,0.004693339,0.065492496,-16.6609,0.36467558,,6.15,7.46,6.46,7.48,,6.57,,3.42,4.95,4.9500003,4.07,5.63,5.58,,7.53,7.52,4.85,6.24,,,2.11,,2.24,1.35,,,
06411010+0914326,NGC2264,100.29208333333165,9.242388888888735,82.47829,5700.0,23.0,4.153438599999999,0.04555007,-0.06936771,-10.54495,0.36483815,,6.12,7.77,6.5699997,7.5,,6.44,3.08,3.52,5.01,5.02,4.06,5.49,5.58,,7.4,7.39,4.88,6.2,,,1.98,,1.9599999,1.33,,,
06402147+0941505,NGC2264,100.08945833333165,9.697361111110947,236.59888999999998,7670.0,0.0,4.06,0.0,-0.11,-8.7781,0.38078186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06395738+0913593,NGC2264,99.98908333333164,9.233138888888735,98.4736,5925.0,19.0,4.2679253,0.050639372,-0.05437121,-4.96955,0.36524385,,5.98,7.42,6.2599998,7.41,,6.46,,3.27,4.86,4.9,,5.57,5.57,,7.41,7.42,4.92,6.14,,,2.03,,2.2,1.32,,,
06412224+0907372,NGC2264,100.34266666666494,9.126999999999846,258.2468,6782.0,0.0,4.18,0.0,-0.07,-3.4019,3.0413813999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06401919+0945352,NGC2264,100.07995833333165,9.759777777777613,44.36758,4963.0,3.0,4.4153085,0.13224769,-0.07267302,-1.3053,0.3690266,,6.23,7.54,6.44,7.42,,,,3.43,5.07,,4.23,5.71,6.04,,7.51,7.41,4.97,6.24,,,2.65,2.79,2.01,,,,
06393161+0947355,NGC2264,99.88170833333164,9.793194444444275,104.24854,5976.0,89.0,4.571687,0.097499885,0.056114199999999996,-0.73889995,0.3651719,,6.12,7.509999799999999,6.3599997,7.52,,6.4300003,,3.38,5.03,4.86,4.29,5.58,5.88,,7.5,7.48,4.95,6.33,,,2.26,,2.0700002,1.45,,,
06403477+1001205,NGC2264,100.14487499999832,10.02236111111094,35.712967,5210.0,128.0,2.812456,0.16363244,-0.019275138,47.3925,0.36707178,,6.1299996,7.2799997,6.48,,,6.26,3.22,3.1200001,5.01,,4.09,5.74,,,7.31,7.28,4.99,6.07,,,2.25,,,,1.85,,0.45999998
06413292+0919035,NGC2264,100.38716666666494,9.317638888888732,175.5896,6574.0,144.0,4.547432,0.17427936,0.058875334,48.60735,0.36987305,,6.1099997,7.31,6.22,7.44,,6.44,,3.3200002,4.87,4.89,,5.53,5.54,,7.48,7.57,,6.14,,,2.07,,2.1100001,1.29,,,
06402676+0925282,NGC2264,100.11149999999832,9.42449999999984,83.79136,5606.0,37.0,4.3900765999999996,0.005837829,0.08960726,51.3892,0.36500528,,6.12,7.61,6.39,7.54,,6.57,3.18,3.51,5.07,4.9900002,4.22,5.69,5.64,,7.59,7.53,5.03,6.38,,,2.33,,2.27,2.06,,,
06394098+0944148,NGC2264,99.92074999999832,9.73744444444428,50.41005300000001,6043.0,163.0,4.3810353,0.030288117000000007,0.17254512,56.056953,0.36707538,,6.17,7.5699997,6.47,7.58,,6.56,4.18,3.39,5.19,4.87,4.3199997,5.71,5.8,,7.6,7.51,5.01,6.36,,,2.17,,2.19,,,,
06413651+0918374,NGC2264,100.4021249999983,9.310388888888733,33.86018,5138.0,0.0,4.45,0.0,-0.13,59.7504,0.36913958,,5.98,7.509999799999999,6.29,7.26,,6.54,3.29,3.2,5.07,4.94,4.18,5.59,,,7.36,7.28,4.99,6.1,,,1.73,,1.9499999,,,,
06421167+0944128,NGC2264,100.5486249999983,9.736888888888725,123.94001000000002,4821.0,19.0,3.3023148,0.011768202,0.08309697,70.0789,0.36472209999999994,,6.2,7.72,6.6499996,,,6.59,3.19,3.5300002,5.15,,4.3399997,5.68,5.69,,7.58,7.53,5.09,6.38,,,2.25,2.59,,0.99,1.71,,0.45
06401996+0935434,NGC2264,100.08316666666494,9.595388888888724,51.326843,5380.0,87.0,4.5386690000000005,0.18462758,-0.4849829000000001,84.7996,0.36812037,,5.71,7.21,6.1,7.01,,6.13,2.94,3.01,4.88,4.77,,5.37,5.76,,6.94,6.9,,5.82,,,,,1.4399998999999999,,,,
06403948+0948391,NGC2264,100.16449999999833,9.810861111110947,37.67496,5311.0,123.0,4.6757503,0.19649763,-0.15999992,101.27285,0.36874044,,5.95,7.41,6.37,7.23,,6.36,,3.13,5.0,4.66,4.12,5.66,,,7.33,7.27,4.86,6.06,,,2.05,,1.5799999,1.63,,,
06413008+0949454,NGC2264,100.37533333333164,9.82927777777761,171.61033999999995,6421.0,0.0,4.08,0.0,-0.94,103.9616,0.5964401999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06403242+1001522,NGC2264,100.13508333333164,10.031166666666495,84.98305500000002,7239.0,0.0,3.91,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07381931+2135220,NGC2420,114.5804583333314,21.58944444444408,101.37552,6461.0,61.0,3.6974422999999996,0.11669362,-0.38,68.18645500000001,0.36628340000000004,7.83,5.8,7.22,5.94,7.04,7.02,6.021,,2.7,4.7,4.5,4.487,5.27,5.245,4.96,7.09,7.06,4.61,5.74,3.68,4.1140003,1.76,,1.974,,,1.4,
07382724+2133166,NGC2420,114.61349999999807,21.55461111111075,115.64813000000001,4878.0,57.0,3.0048401,0.11396827,-0.11800000000000001,71.285255,0.3644989,8.04,6.03,7.37,6.2,7.42,7.28,6.2810000000000015,2.964,3.18,4.71,4.93,3.8170002,5.4,5.4449997,5.15,7.27,7.35,4.68,6.05,3.87,4.534,2.05,2.28,2.134,0.91,1.6700001,1.59,0.37
07382285+2134069,NGC2420,114.59520833333141,21.568583333332967,112.698654,5016.0,64.0,3.2739797000000004,0.11519376,-0.06737649999999999,76.194496,0.36926824,8.11,5.99,7.36,6.19,7.39,7.54,6.221,3.0239999999999996,3.12,4.74,4.82,3.867,5.39,5.4849997,5.23,7.23,7.33,4.72,5.99,4.11,4.644,2.08,2.46,2.0540001,1.0,1.77,1.68,0.46
07384226+2131021,NGC2420,114.67608333333136,21.517249999999642,123.08803999999999,5029.0,63.0,3.2312689999999997,0.123142116,-0.1,81.152855,0.36455253,8.71,6.17,7.28,6.42,7.58,8.86,6.151,3.5939998999999996,3.38,5.08,5.01,4.3069997,5.66,5.5049996,5.22,7.26,7.27,5.02,6.13,4.02,4.064,3.23,3.77,3.634,2.56,3.1599998,3.01,1.34
07375169-3843326,NGC2451,114.46537499999808,-38.72572222222156,41.95644,5247.0,15.0,4.6399016,0.050034467,0.01720334,-15.63095,0.36822173,8.45,6.2999997,7.64,6.3399997,7.5,7.45,6.51,3.304,3.49,5.08,5.02,4.36,5.7,5.845,5.48,7.54,7.49,4.97,6.24,4.05,4.494,2.21,3.05,2.1200001,1.62,3.31,1.87,
07471095-3715160,NGC2451,116.795624999998,-37.25444444444381,298.2376700000001,6172.0,3.0,3.9442003,0.011513497,-0.067486376,-7.04985,0.36471722,8.05,6.0499997,7.45,6.22,7.39,7.4,6.4300003,3.5039999999999996,3.3500001000000004,4.91,4.89,4.12,5.5,5.38,5.25,7.39,7.38,4.86,6.07,4.08,4.494,1.96,,2.19,1.17,1.58,1.46,0.21
07452652-3811471,NGC2451,116.36049999999805,-38.19641666666601,148.17816000000005,5997.0,11.0,4.2044067,0.0056923926,-0.02216132,-6.7617,0.36489582,8.1,6.04,7.31,6.19,7.36,7.46,6.4100003,3.324,3.2900002,4.83,4.82,3.87,5.52,5.4900002,5.27,7.42,7.42,4.87,6.12,4.02,4.524,2.04,,2.15,1.27,,1.53,0.33
07451819-3802491,NGC2451,116.3257916666647,-38.04697222222158,292.80212,8000.0,750.0,2.5329217999999996,1.2,0.0,32.364000000000004,0.32107067,8.02,6.16,7.44,,7.74,6.6,6.2810000000000015,,2.71,5.65,4.67,5.0569997,5.87,5.2549996,5.88,7.36,6.88,5.22,6.65,4.72,4.784,1.91,,2.104,,2.78,2.2,
07372474-3844072,NGC2451,114.35308333333141,-38.73533333333268,136.61133,5136.0,11.0,2.7892907000000005,0.04738713,-0.07489357,53.167053,0.36447108,7.8,6.3199997,7.41,6.3399997,7.41,7.2,6.4,3.01,3.3600001000000006,4.81,4.86,3.9699998,5.5,5.39,5.25,7.37,7.43,4.85,6.12,3.96,4.494,1.96,2.43,2.2640000000000002,0.9,1.6400001,1.51,0.3
07371406-3843587,NGC2451,114.30858333333136,-38.732972222221576,189.47099999999998,6459.0,183.0,3.8650286,0.0070707514,-0.068964645,60.0915,0.38872656,8.2,6.27,7.09,6.28,7.32,7.62,6.35,4.064,3.19,4.79,4.7200003,4.2869997,5.41,5.81,5.27,7.34,7.44,4.8,6.01,4.2,4.3640003,1.89,3.88,1.6899998999999999,0.85,,1.56,
07490017-3810109,NGC2451,117.25070833333136,-38.16969444444381,111.89008999999999,5270.0,30.0,4.425259,0.01516223,0.40060392,63.17995,0.36534953,8.68,6.65,7.99,6.8399997,7.93,7.71,6.79,3.51,3.97,5.31,5.4900002,4.54,5.97,6.14,6.0,7.87,7.93,5.42,6.76,4.7,4.9639999999999995,2.61,2.87,2.3700001,,,2.0,0.87
07472153-3747373,NGC2451,116.83970833333136,-37.7936944444438,129.19557,5611.0,57.0,3.6923277000000003,0.06766285,0.099557295,64.39005,0.3644358,8.19,6.2799997,7.5699997,6.46,7.59,7.31,6.59,3.17,3.5700002,4.98,5.1,4.11,5.73,5.59,5.5,7.6,7.57,4.96,6.35,4.23,4.6940002,2.18,,2.25,1.67,1.8000001,1.47,0.45
07400903-3741350,NGC2451,115.03762499999806,-37.69305555555492,36.287178000000004,5679.0,57.0,4.2273273,0.04534239,0.07502887,77.74685,0.36768544,8.04,6.19,7.509999799999999,6.3999996,7.4,6.9,6.53,3.45,3.38,5.14,4.78,4.2599998,5.71,5.98,5.56,7.52,7.29,5.13,6.29,4.28,4.4040003,2.11,,1.79,,2.01,1.69,
07410816-3715319,NGC2451,115.28399999999806,-37.25886111111048,105.65285,4932.0,22.0,3.6605267999999995,0.04816692,0.022620017000000003,79.62695,0.36550453,8.34,6.29,7.73,6.56,7.68,7.28,6.51,3.21,3.5800002,5.1,5.15,4.3199997,5.59,5.63,5.34,7.49,7.49,5.01,6.26,4.3,4.674000299999999,2.17,2.55,2.02,,1.6400001,1.67,
07464549-3907535,NGC2451,116.68954166666471,-39.131527777777116,103.0676,5069.0,21.0,4.3047695,0.021770143999999998,0.31537703,81.562004,0.3657638,8.68,6.7,7.96,6.8799996,7.79,7.23,6.89,3.63,3.8400002,5.49,5.42,4.69,6.0,6.21,5.94,7.85,7.76,5.3,6.65,4.54,4.754,2.44,2.97,2.3200002,,,2.03,0.77
07430445-3804555,NGC2451,115.76854166666469,-38.08208333333268,157.48035,5741.0,24.0,4.25744,0.062205523,0.26069644,83.09475,0.364325,8.53,6.41,7.8500004,6.69,7.78,7.68,6.71,3.38,3.8000002,5.2,5.32,4.35,5.83,5.7200003,5.64,7.73,7.79,5.18,6.51,4.47,4.884000299999999,2.35,,2.3100002,2.11,2.0,1.69,0.6
07434022-3839285,NGC2451,115.91758333333141,-38.657916666666004,139.08553,5727.0,4.0,4.3204365,0.025522651,-0.016640935,87.44975,0.36493912,8.09,6.02,7.44,6.21,7.39,7.32,6.42,3.1239999999999997,3.3300002,4.86,4.89,3.9699998,5.58,5.535,5.32,7.47,7.42,4.77,6.12,4.01,4.564,2.18,3.77,2.24,1.66,,1.6,0.37
07471043-3902494,NGC2451,116.79345833333132,-39.0470555555549,131.58133,5006.0,45.0,3.0183383999999998,0.04964347,-0.3884947,97.04165,0.3646712,7.87,5.7999997,7.24,6.1,7.15,6.95,6.2000003,2.72,3.0900002,4.67,4.69,3.75,5.18,5.095,4.89,7.09,7.06,4.56,5.85,3.67,4.274,1.98,2.47,1.8940000000000001,0.74,1.44,1.41,0.17000002
07454075-3907464,NGC2451,116.4197916666647,-39.1295555555549,19.315296,5834.0,0.0,4.22,0.0,0.16,140.7426,0.37615338,,6.74,7.7,6.89,8.01,8.54,6.751,3.444,3.76,5.41,5.64,4.447,5.97,6.075,5.87,7.94,8.29,5.37,6.65,4.81,,2.77,,2.204,,,2.1,0.99
07422984-3806287,NGC2451,115.62433333333135,-38.107972222221576,303.23508,7200.0,750.0,3.3,0.45,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07455731-3908341,NGC2451,116.4887916666647,-39.1428055555549,146.60963,10008.0,750.0,3.8049383000000003,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07463867-3748137,NGC2451,116.66112499999802,-37.80380555555492,265.26633,10900.0,750.0,3.8271606,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07474569-3727405,NGC2451,116.94037499999806,-37.46124999999937,182.00668000000002,10100.0,750.0,4.3,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07491818-3804566,NGC2451,117.32574999999798,-38.08238888888824,218.37153999999998,7153.0,0.0,4.01,0.0,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08012920-6027429,NGC2516,120.37166666666464,-60.46191666666566,59.06835600000001,5150.0,59.0,3.6729074,0.11589245,-0.22699999999999998,-41.176,0.36533654,8.26,5.93,7.29,6.16,7.29,7.13,6.211,3.074,3.14,4.75,4.89,3.8270001000000002,5.35,5.395,5.06,7.17,7.25,4.65,5.98,3.93,4.303999999999999,1.89,2.82,1.9040000000000001,,,1.55,
07570115-6108175,NGC2516,119.25479166666464,-61.13819444444341,36.69265,4895.0,69.0,3.4663703000000003,0.12459225,-0.03,-20.279298999999998,0.36662979999999995,8.12,6.03,7.49,6.34,7.5,,6.3710002999999995,3.304,3.39,4.99,5.22,4.137,5.56,5.765,5.26,7.36,7.5,4.96,6.18,4.33,4.053999999999999,2.06,2.56,1.974,1.24,1.95,1.83,0.56
07594121-6109251,NGC2516,119.92170833333135,-61.156972222221185,113.86568,6103.0,68.0,4.221216,0.13449691,-0.05,-19.952198000000006,0.39919898,8.1,5.89,7.45,6.49,7.43,7.54,6.341,4.004,3.13,4.83,4.8,4.157,5.52,5.605,5.39,7.37,7.38,5.02,6.15,4.35,4.2139999999999995,2.25,,2.0540001,,,1.72,
07551614-6101207,NGC2516,118.817249999998,-61.02241666666563,58.50538,4911.0,59.0,2.5821077999999997,0.11602976,-0.4,-12.6684,0.36531347,7.78,5.78,7.25,6.08,7.22,7.16,6.061,2.784,2.95,4.51,4.67,3.5870001000000005,5.11,5.165,4.78,6.99,7.08,4.49,5.76,3.8,4.124,1.65,2.23,1.6740000000000002,0.52,1.1700001,1.21,0.01
08003117-6108595,NGC2516,120.12987499999795,-61.14986111111008,59.145644999999995,5501.0,57.0,4.5263834,0.11572836,0.11,-8.608649,0.36652982,8.42,6.14,7.54,6.47,7.46,7.52,6.561,3.364,3.32,5.01,5.07,4.187,5.76,5.8149996,5.54,7.53,7.55,4.95,6.32,4.06,4.734,2.32,,2.3240001,,2.09,1.87,
07560336-6031274,NGC2516,119.01399999999798,-60.524277777776774,141.2911,10978.0,750.0,4.32264,0.2,0.1,17.0548,0.31199068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07593210-6048450,NGC2516,119.883749999998,-60.81249999999898,74.33408,5489.0,67.0,4.265378,0.12315204,-0.04,49.96505,0.40196678,,6.33,7.49,6.43,7.49,7.57,6.6410003,3.424,3.03,5.03,4.84,4.157,5.69,5.5449996,5.42,7.43,7.5,4.71,6.08,3.59,4.553999999999999,2.15,3.03,2.344,,,1.79,
07583076-6025129,NGC2516,119.62816666666464,-60.42024999999899,45.497659999999996,4925.0,67.0,3.5461912000000004,0.119013175,0.08,50.742554,0.36591697,8.31,6.12,7.47,6.36,7.56,7.48,6.351,3.174,3.4,4.92,5.15,4.087,5.58,5.705,5.41,7.44,7.61,4.98,6.32,4.19,4.803999999999999,2.32,2.52,2.0740001,1.07,1.8399999,1.8,0.59
08002823-6021348,NGC2516,120.11762499999794,-60.35966666666566,44.559605,5517.0,67.0,4.4116116,0.12025951,-0.33,51.65905,0.3668405,8.44,5.86,7.34,6.25,7.25,7.36,6.2410000000000005,3.0439999999999996,3.03,4.84,4.78,3.877,5.34,5.5849996,5.01,7.11,7.16,4.66,5.92,3.9,4.474,1.84,,1.7340001,,,,
07564930-6030483,NGC2516,119.20541666666469,-60.513416666665655,16.479364,5431.0,76.0,3.8948476000000003,0.13992606,0.07,60.6038,0.37287447,,6.25,7.55,6.45,7.44,6.88,6.271,,3.36,5.24,5.14,4.417,5.88,6.035,5.57,7.53,7.63,5.18,6.23,4.53,4.294,2.39,,1.8540001,,2.23,,0.75
07591536-6052051,NGC2516,119.81399999999798,-60.8680833333323,191.38615,9915.0,750.0,3.8115654,0.3,-0.15,62.2395,0.3112601,7.95,,7.25,,,,,,2.35,,,,,,,,,,,,,,,,,,,
07584349-6051425,NGC2516,119.68120833333134,-60.86180555555453,65.55789,5403.0,58.0,3.8069224000000004,0.115600884,-0.21,68.85384,0.36579716,8.06,6.01,7.5,6.42,7.44,7.53,6.331,3.0039999999999996,3.22,4.88,5.01,3.887,5.39,5.455,5.04,7.19,7.23,4.74,6.02,4.04,4.574,1.85,,1.814,1.45,,1.4,
07580698-6027260,NGC2516,119.5290833333313,-60.45722222222121,63.311156999999994,5051.0,58.0,3.7066572,0.1162039,-0.35,75.3619,0.36525345,8.32,5.86,7.33,6.17,7.28,7.16,6.171,3.0039999999999996,3.1,4.79,4.94,3.8070002,5.28,5.225,4.94,7.08,7.1,4.63,5.93,3.9,4.4639999999999995,1.77,,1.7340001,1.8,,1.48,0.46
07542322-6034452,NGC2516,118.59674999999798,-60.57922222222118,59.09725,5794.0,58.0,4.120774,0.11631095400000001,0.14,89.49035,0.36621007,8.33,6.32,7.61,6.42,7.58,7.59,6.561,3.4339999999999997,3.42,4.98,5.09,4.107,5.71,5.6749997,5.47,7.53,7.59,4.94,6.3,4.22,4.704,2.19,,2.234,1.46,1.9299998,1.62,
07552325-6018496,NGC2516,118.84687499999798,-60.31377777777675,186.55087,9420.0,750.0,3.68842,0.45,-0.1,,,8.56,,7.93,,,,,,3.22,,,,,,,,,,,,,,,,,,,
07574551-6047026,NGC2516,119.43962499999796,-60.78405555555453,135.91335,10485.0,750.0,3.6954732000000003,0.45,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07575737-6044162,NGC2516,119.48904166666463,-60.73783333333229,172.23836,8743.0,750.0,3.7954364000000003,0.3,-0.25,,,8.47,,7.66,,,,,,3.08,,,,,,,,,,,,,,,,,,,
08003141-6036306,NGC2516,120.130874999998,-60.608499999998976,116.85203,8000.0,750.0,2.9156218,1.0,-0.4,,,7.99,,7.62,,,,,,2.74,,,,,,,,,,,,,,,,,,,
08003446-6042560,NGC2516,120.14358333333134,-60.71555555555453,116.3531,9600.0,750.0,4.1,0.2,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08074522-4912215,NGC2547,121.9384166666646,-49.20597222222139,147.42561,5784.0,6.0,4.413513,0.008965324,-0.07421994,-2.22305,0.36523455,7.91,5.93,7.49,6.23,7.31,7.28,6.38,3.1839999999999997,3.2,4.8,4.78,3.9199998,5.55,5.6,5.22,7.38,7.37,4.73,6.02,3.97,4.454,2.06,,2.3300002,1.49,1.4200001,1.67,0.33
