CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,NA1,MG1,SI1,CA1,SC2,TI1,TI2,V1,CR1,FE1,FE2,CO1,NI1,Y2,BA2
18273949+0628080,NGC6633,276.914541666662,6.46888888888878,167.06183000000001,5830.0,57.0,4.334453,0.11224408400000001,-0.38,-7.46305,0.36428225,5.8,7.24,7.08,6.051,2.8,4.53,4.53,3.6069999999999998,5.2,7.03,7.08,4.47,5.76,2.53,2.464
18264024+0618536,NGC6633,276.667666666662,6.314888888888782,184.55882,5510.0,61.0,3.7219462,0.1188769,-0.287,7.29515,0.36459675,5.91,7.3,7.22,6.211,2.98,4.63,4.72,3.697,5.32,7.14,7.17,4.57,5.89,1.81,1.994
18283247+0644249,NGC6633,277.135291666662,6.740249999999888,158.82182,6067.0,57.0,4.336886,0.11174722,0.12,8.5822,0.3656824,6.28,7.59,7.54,6.521,3.3,5.02,4.98,4.257,5.72,7.52,7.57,4.95,6.24,2.23,2.174
18271445+0621373,NGC6633,276.8102083333286,6.360361111111004,194.54478,6182.0,57.0,4.326207599999999,0.11309902,0.12,9.37065,0.36480772,6.14,7.56,7.49,6.561,3.26,4.97,5.03,4.047,5.69,7.53,7.55,4.9,6.23,2.34,2.414
18273258+0619524,NGC6633,276.88574999999526,6.331222222222116,69.149025,5505.0,58.0,4.4585023,0.11502105,0.02,11.7223,0.36613646,6.17,7.51,7.45,6.501,3.26,5.02,5.0,4.167,5.7,7.44,7.47,4.86,6.19,2.29,2.194
18263213+0626485,NGC6633,276.6338749999953,6.446805555555446,84.3117,5816.0,65.0,4.3246036,0.12376836,0.061,12.0698,0.36078520000000003,6.06,7.49,7.43,6.3710002999999995,3.26,4.89,4.98,3.977,5.48,7.34,7.43,4.69,6.11,2.2,2.0740001
18264580+0645386,NGC6633,276.6908333333286,6.760722222222108,121.98943999999999,6536.0,57.0,3.908865,0.11317385,-0.2,14.436298999999998,0.36545700000000003,5.96,7.38,7.29,6.351,3.02,4.74,4.72,4.217,5.36,7.24,7.24,4.8,5.9,1.96,2.194
03454512+2535448,Pleiades,-999.9,-999.9,4830.9214,6112.0,21.0,4.1286235,0.029664312999999998,0.010096532,-0.8487,0.56568545,6.0499997,7.47,7.41,6.4300003,3.2800002,4.8,4.82,3.957,5.5,7.42,7.4,4.81,6.13,1.97,2.1200001
03340731+2420400,Pleiades,-999.9,-999.9,2126.902,6278.0,0.0,3.93,0.0,-0.2,2.4606,0.56568545,,,,,,,,,,7.4599996,7.4599996,,,,
03391347+2427595,Pleiades,-999.9,-999.9,4273.9565,6169.0,7.0,4.5704603,0.020209892,0.04000001,4.60925,0.56568545,6.1099997,7.48,7.51,6.5,3.3600001000000006,4.94,4.9500003,4.14,5.64,7.51,7.52,,6.16,2.08,2.3300002
