CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,NA1,MG1,AL1,CA1,SC1,SC2,TI1,V1,CR1,CR2,FE1,FE2,CO1,NI1,Y2
07483589-3810276,NGC2451,117.14954166666469,-38.17433333333268,120.67716999999999,5358.0,20.0,2.9020739,0.008088783,-0.1366727,31.7082,0.36530116,6.1299996,7.27,6.14,6.29,2.9539999999999997,3.0800002,4.67,3.86,5.36,5.21,7.26,7.33,4.63,6.0,1.92
07424713-3829535,NGC2451,115.69637499999806,-38.4981944444438,127.69241000000001,5013.0,3.0,3.3067693999999994,0.006792335300000001,-0.08734138,33.629303,0.36443123,6.0899997,7.43,6.3399997,6.36,2.97,3.39,4.91,4.0,5.44,5.42,7.35,7.38,4.87,6.16,1.95
07562389-6030494,NGC2516,119.09954166666463,-60.51372222222121,93.85221,8261.0,750.0,3.1708539,0.7,-0.25,16.556398,3.0,,7.75,,,,3.1,,,,,,,,,
08000767-6040594,NGC2516,120.0319583333313,-60.68316666666565,186.07849,8526.0,750.0,3.3966093,0.45,0.1,18.01765,3.0083137000000004,,7.62,,,,2.74,,,,,,,,,
07565226-6026034,NGC2516,119.21774999999796,-60.43427777777676,186.53696000000002,8246.0,750.0,3.5142534,0.45,-0.3,24.6075,2.7273947999999995,,7.51,,,,2.86,,,,,,,,,
08001019-6107367,NGC2516,120.04245833333131,-61.12686111111006,55.608509999999995,4763.0,59.0,2.7444822999999996,0.11553639,-0.20600000000000002,34.2817,0.36541858,6.05,7.3,6.15,6.151,2.904,3.08,4.62,3.7670002,5.27,5.3849998,7.13,7.24,4.69,5.97,1.9
07583206-6053513,NGC2516,119.6335833333313,-60.89758333333232,171.55405,8313.456,750.0,3.4995341,0.45,0.0,37.40845,0.38610792,,7.25,,,,2.35,,,,,,,,,
08084571-4923473,NGC2547,122.19045833333128,-49.396472222221384,147.65025,7821.0,750.0,3.4535568,0.45,-0.25,4.8365,0.38989145,5.99,7.65,,6.101,,3.11,4.57,4.637,5.22,5.4449997,,,,6.47,1.71
08093815-4918404,NGC2547,122.40895833333124,-49.3112222222214,66.37473,7673.0,750.0,3.4640608,0.45,-0.1,11.2693,3.0,6.78,7.87,,,5.974,2.97,5.67,,6.13,5.7549996,7.64,7.92,,7.35,2.15
08095066-4912493,NGC2547,122.46108333333127,-49.2136944444436,213.89095,8371.0,750.0,3.5343416,0.45,0.1,11.70825,3.0056696,,7.71,,,,3.14,,,,,,,,,
08092668-4914371,NGC2547,122.36116666666456,-49.243638888888036,154.45761000000005,7404.0,750.0,3.304643,0.45,-0.15,13.016200999999999,2.7252152,6.21,7.7,,6.631,,2.78,4.6,5.2170000000000005,5.3,5.0249996,,,,6.28,2.07
08110323-4900374,NGC2547,122.76345833333124,-49.01038888888807,90.12389,7589.0,750.0,3.3164287000000003,0.45,-0.1,14.548901,3.0,,7.75,,,,3.02,,,,,,,,,
08074892-4917421,NGC2547,121.95383333333127,-49.29502777777694,79.31681,4856.0,51.0,3.1961505,0.092343435,0.23892376,16.923752,0.3651045,6.48,7.77,6.67,6.62,3.36,3.68,5.16,4.41,5.74,5.78,7.65,7.66,5.19,6.46,2.26
08094610-4914270,NGC2547,122.4420833333313,-49.2408333333325,185.68074,7429.0,750.0,3.4457142,0.45,-0.05,17.9605,3.0066387999999997,6.67,7.85,,6.541,,2.95,5.3,,5.56,5.015,,,5.07,6.4,2.14
08093053-4921563,NGC2547,122.37720833333128,-49.365638888888036,124.66641000000001,8730.0,750.0,3.333,0.45,-0.05,18.8006,0.31202388,,8.04,,,,3.6,,,,,,,,,
