CNAME,GES_FLD,WG,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,XI,MH,ALPHA_FE,VRAD,E_VRAD,VSINI,E_VSINI,TEFF_PHOT,E_TEFF_PHOT,TEFF_IRFM,E_TEFF_IRFM,FBOL_IRFM,HE1,LI1,C1,C2,C3,N2,N3,O1,O2,NE1,NE2,NA1,MG1,MG2,AL1,AL2,AL3,SI1,SI2,SI3,SI4,S1,S2,S3,CA1,CA2,SC1,SC2,TI1,TI2,V1,V2,CR1,CR2,MN1,FE1,FE2,FE3,CO1,NI1,CU1,ZN1,SR1,Y1,Y2,ZR1,ZR2,NB1,MO1,RU1,BA2,LA2,CE2,PR2,ND2,SM2,EU2,GD2,DY2,SPT
08391789-5317055,IC2391,WG11:WG12:WG13,129.82454166666446,-53.28486111111021,67.16230999999999,10378.0,750.0,4.260945,0.2,0.0,2.0,,,32.6933,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08385073-5225382,IC2391,WG11:WG12:WG13,129.7113749999978,-52.4272777777769,239.47517,7037.0,500.0,4.0,0.2,0.0,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0III
08401746-5300554,IC2391,WG11:WG12:WG13,130.0727499999978,-53.015388888888,296.8359,14250.0,750.0,3.9814816,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08412588-5322415,IC2391,WG11:WG12:WG13,130.35783333333114,-53.378194444443544,144.257,4835.0,0.0,4.47,0.0,-0.06,0.8921315000000001,,,,,,,,,,,,,3.1143956000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K3V
08422538-5306501,IC2391,WG11:WG12:WG13,130.60574999999778,-53.11391666666575,372.33063,17090.0,750.0,4.0144033,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08431790-5236112,IC2391,WG11:WG12:WG13,130.82458333333108,-52.60311111111022,71.72803499999998,6527.0,0.0,4.02,0.0,-0.06,1.4602203,,,,,,,,,,,,,3.4549928,,,,,,,,,,,,,,,,,,,,,,,6.011,6.28,,,,4.5,,,,,,6.76,6.59,,,6.18,3.77,,,,1.22,,,,,,,,,,,,,,,F5IV-V
10444548-6421013,IC2602,WG11:WG12:WG13,161.18949999999722,-64.35036111111002,24.31799,4834.0,45.0,2.6940668,0.09516603,-0.164971,1.85,,,-44.252098,0.36839917,2.1083333,2.9331372000000004,,,,,,,1.0767973999999998,,,,,,8.952,,,,5.96,7.3199997,,6.33,,,7.36,7.41,,,7.33,,,6.15,,3.03,3.15,4.95,4.85,4.04,,5.41,5.4449997,5.33,7.24,7.3,,4.87,6.13,3.97,4.204,,,1.97,2.62,2.4,,,,,0.85,,,1.59,,0.48000002,,,G8III
10495515-6357402,IC2602,WG11:WG12:WG13,162.4797916666639,-63.961166666665584,213.60957,7121.0,0.0,3.98,0.0,-0.14,,,,-40.1894,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7III
10514339-6336283,IC2602,WG11:WG12:WG13,162.9307916666639,-63.60786111111005,103.56489,4989.0,15.0,2.589697,0.0210182,-0.222437,1.4,,,-39.98095,0.3646093,2.2194443,2.7035787,,,,,,,-1.0,7.7,,,,,8.712,,,,5.94,7.21,,6.0,,,7.21,6.85,,,,,,6.2000003,6.0,2.75,3.18,4.59,4.7,3.74,,5.23,5.21,5.0,7.16,7.2,,4.64,5.9,3.73,4.3640003,,,1.9,2.26,2.32,,,,2.0440001,0.77,1.5,,1.43,,0.120000005,,,G5III
10444061-6456332,IC2602,WG11:WG12:WG13,161.16920833333063,-64.94255555555446,118.17993,4869.0,8.0,2.764452,0.083001815,-0.025190452,1.29,,,-35.448196,0.36450177,2.2416668,3.3873181000000003,,,,,,,-1.0,8.07,,,,,9.372,,,,6.18,7.43,,6.3599997,,,7.47,7.34,,,,,,6.4,6.14,3.0,3.45,4.91,4.95,4.04,,5.53,5.46,5.28,7.4,7.46,,4.89,6.17,4.14,4.324,,,2.13,2.59,2.55,,2.01,,2.334,0.99,1.72,,1.59,,0.39,,,G8III
