CNAME,GES_FLD,WG,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,XI,MH,ALPHA_FE,VRAD,E_VRAD,VSINI,E_VSINI,TEFF_PHOT,E_TEFF_PHOT,TEFF_IRFM,E_TEFF_IRFM,FBOL_IRFM,HE1,LI1,C1,C2,C3,N2,N3,O1,O2,NE1,NE2,NA1,MG1,MG2,AL1,AL2,AL3,SI1,SI2,SI3,SI4,S1,S2,S3,CA1,CA2,SC1,SC2,TI1,TI2,V1,V2,CR1,CR2,MN1,FE1,FE2,FE3,CO1,NI1,CU1,ZN1,SR1,Y1,Y2,ZR1,ZR2,NB1,MO1,RU1,BA2,LA2,CE2,PR2,ND2,SM2,EU2,GD2,DY2,SPT
17442695+0554052,IC4665,WG11:WG12,266.11229166666226,5.901444444444343,81.6987,5224.0,0.0,4.51,0.0,-0.07,0.9159989,,,-13.689401,0.42051175,23.138206,6.1682916,,,,,,,3.5087335,8.5,,,,,,,,,6.31,7.62,,6.47,,,7.66,7.99,,,8.92,,,6.691,,3.514,3.35,5.06,5.09,4.167,,5.72,5.875,5.48,7.57,7.93,,4.82,6.23,3.9,4.854,,,2.81,2.91,,,,,2.614,,,,3.64,,,,,K1V
17480498+0548421,IC4665,WG11:WG12,267.0207499999956,5.811694444444346,90.55007,5239.0,0.0,4.52,0.0,-0.07,0.9171041,,,-13.60685,0.6552125,34.05862800000001,8.274614999999999,,,,,,,3.0427767999999995,,,,,,,,,,5.97,7.33,,6.65,,,7.43,8.05,,,8.93,,,6.461,,3.314,3.21,5.09,4.87,4.217,,5.75,6.1949997,5.41,7.64,7.91,,4.78,6.17,4.8,4.704,,,2.64,2.86,,,,,,,,,,,,,,K1V
17473331+0531460,IC4665,WG11:WG10:WG12,266.88879166666214,5.529444444444351,125.9663,5781.0,0.0,4.38,0.0,0.11,1.0840741000000005,,,-13.60085,0.6557433000000001,32.93313,8.082473,,,,,,,3.5329607000000003,,,,,,,,,,6.57,7.79,,6.69,,,7.64,7.79,,,8.47,,,6.901,,3.394,3.28,5.33,5.22,4.457,,5.91,6.0649996,5.7,7.78,7.72,,5.0,6.36,4.67,4.704,,,2.71,3.47,,,,,2.704,,3.04,,2.19,,,,,G2V
17445810+0551329,IC4665,WG11:WG10:WG12,266.2420833333288,5.859138888888791,91.36486,5430.0,115.0,4.442871599999998,0.07039983,-0.034280844,1.66,,,-13.20185,0.36763096,10.721061,6.1859145,,,,,,,3.189042,8.32,,,,,,,,,6.0299997,7.31,,6.19,,,7.29,7.57,,,,,,6.4100003,6.34,3.224,3.24,4.8,4.8,3.9399998,,5.56,5.625,5.35,7.41,7.53,,4.71,6.03,3.93,4.494,,,2.07,2.72,,,,,2.1200001,1.54,,,1.5,,,,,K1V
17471544+0556358,IC4665,WG11:WG10:WG12,266.8143333333288,5.943277777777679,109.62919,5727.0,0.0,4.41,0.0,0.06,1.0595019,,,-13.1573,3.005061,,,,,,,,,3.6,,,,,,,,,,,,,,,,7.172209,,,,,,,,,,,,,,,,,,6.6699996,7.0,,5.0340667,6.5141206,,,,,,,,,,,,,,,,,1.1870282,,,G2V
17442711+0547196,IC4665,WG11:WG12,266.11295833332883,5.78877777777768,78.09827,5505.0,64.0,4.4184732,0.077368334,-0.029539667,2.07,,,-13.1095,0.37363407,14.917845000000002,5.2802553,,,,,,,3.3759341,,,,,,,,,,5.95,7.39,,6.18,,,7.29,7.47,,,7.39,,,6.2410000000000005,,3.484,3.02,4.83,4.54,3.9299998,,5.58,5.55,5.24,7.38,7.47,,4.76,5.96,3.76,4.374,,,2.08,2.86,,,,,2.1100001,1.03,2.37,,1.46,,,,,G2V
17453881+0536232,IC4665,WG11:WG12,266.4117083333289,5.6064444444443495,195.63974,6247.0,0.0,3.94,0.0,-0.02,1.3285843000000002,,,-13.08885,3.0257547,,,,,,,,,3.2316928,7.98,,,,,,,,,6.46,7.56,,6.3,,,7.38,7.26,,,7.98,,,6.291,6.47,4.254,2.88,4.91,4.66,4.2269998,,5.71,5.575,5.22,7.61,7.45,,4.99,6.05,4.14,4.3039999999999985,,,2.25,,,,,,1.8640001,,,,1.71,,,,,F6IV
17451940+0547401,IC4665,WG11:WG10:WG12,266.3308333333288,5.794472222222124,75.46309000000002,5283.0,70.0,4.3845105,0.2644101,-0.07988489,2.06,,,-12.645551,0.3723962,14.164224,5.306,,,,,,,3.2056177000000003,,,,,,,,,,6.04,7.33,,6.26,,,7.23,7.55,,,,,,6.2810000000000015,,3.204,2.98,4.79,4.7400002,3.9199998,,5.37,5.745,5.2,7.36,7.47,,4.64,5.93,3.82,4.4440002,,,2.19,2.66,,,,,2.0800002,1.4,,,1.44,,,,,K1V
17452508+0551388,IC4665,WG11:WG10:WG12,266.3544999999955,5.860777777777679,76.88325,5340.0,153.0,4.4453087,0.13224773,-0.059884883,2.41,,,-12.37235,0.37222543,14.129482,5.3048677,,,,,,,3.419157,,,,,,,,,,6.09,7.12,,6.29,,,7.31,7.64,,,8.56,,,6.211,,3.314,3.19,4.79,4.62,3.8999999,,5.51,5.5849996,5.26,7.35,7.5,,4.67,5.93,3.84,4.3840002999999985,,,2.07,2.82,,,,,2.0400002,,,,1.53,,,,,K1V
17474907+0532396,IC4665,WG11:WG12,266.95445833332883,5.544333333333238,77.51538000000002,4909.0,51.0,4.4544187000000015,0.022243215,-0.04543054,0.86,,,-11.116099,0.36681092,8.934849,6.0585330000000015,,,,,,,0.6397031999999999,,,,,,,,,,6.29,7.509999799999999,,6.3999996,,,7.39,,,,,,,6.56,,3.27,3.3300002,5.16,5.01,4.35,,5.71,5.7149997,5.41,7.52,7.41,,4.93,6.24,4.2,4.474,,,2.37,2.75,,,2.36,,2.094,2.75,2.82,,1.99,,0.51,,,K3V
17454123+0533444,IC4665,WG11:WG10:WG12,266.42179166666216,5.562333333333241,238.15031,6533.0,0.0,3.97,0.0,-0.03,1.4720508999999995,,,-9.77085,3.027439,,,,,,,,,3.126183,8.14,,,,,9.352,,,,6.16,7.35,,6.5,,,7.27,7.22,,,7.55,,,6.151,6.32,4.484,3.05,5.14,4.65,4.617,,5.6,5.4249997,5.24,7.61,7.46,,5.06,5.98,3.7,4.084,,,2.34,4.09,,,,,1.554,,,,1.38,,,,,F5IV-V
17471599+0535094,IC4665,WG11:WG10:WG12,266.8166249999955,5.58594444444435,238.37935,7735.0,0.0,4.08,0.0,-0.1,,,,-9.13655,3.1598132000000003,,,,,,,,,-1.0,,,,,,9.162,,,,6.13,7.26,,,,,7.45,6.81,,,,,,5.921,,,2.98,5.48,4.64,5.207000000000002,,5.76,5.455,6.54,7.4389585999999985,,,,6.55,4.25,4.214,,,2.26,,,,,,1.3340001,,,,3.09,,,,,A9IV
08513740+1150052,M67,WG11:WG12:WG13,132.90583333333106,11.834777777777575,248.44687,5946.0,56.0,3.8353112,0.11181366,0.004,1.24745,,,32.8021,0.36430913,3.826071,4.0216584000000015,,,,,,,2.41,8.17,,,,,8.392000000000001,,,,6.14,7.48,,6.22,,,7.43,7.6,,,7.16,,,6.4510000000000005,6.34,3.264,3.2,4.82,4.94,3.867,,5.51,5.5649996,5.29,7.41,7.48,,4.76,6.09,4.06,4.5539999999999985,,,2.14,,2.61,,,,2.254,1.24,,,1.42,,0.36,,,F8V
08514995+1149311,M67,WG11:WG12:WG13,132.95812499999778,11.825305555555358,234.93394,5915.0,56.0,3.7256055,0.111918904,-0.0365395,1.23619,,,33.675003000000004,0.36414003,2.1972222,2.7139292,,,,,,,0.17,8.17,,,,,8.502,,,,6.16,7.43,,6.19,,,7.39,7.5,,,7.15,,,6.4110003,6.28,,3.16,4.77,4.86,3.867,,5.5,5.495,5.25,7.37,7.41,,4.74,6.06,4.05,4.524,,,2.07,,2.61,,,,2.174,1.1,,,1.31,,,,,F8V
08514122+1154290,M67,WG11:WG12:WG13,132.92174999999776,11.908055555555356,242.17784,6065.0,56.0,3.8540814,0.11111803,-0.031675,1.46,,,33.9973,0.36495328,6.982,5.397921,,,,,,,1.89,8.16,,,,,8.612,,,,6.17,7.47,,6.18,,,7.41,7.59,,,,,,6.351,6.28,,3.12,4.76,4.83,3.897,,5.48,5.535,5.3,7.36,7.42,,4.74,6.05,4.08,4.4440002,,,2.04,,2.58,,,,2.124,1.08,,,1.36,,0.18,,,F8V
08513322+1148513,M67,WG11:WG12:WG13,132.88841666666443,11.8142499999998,268.04688,6022.0,57.0,3.8598528,0.11203678,-0.04,1.25091,,,34.0943,0.36417377,3.0645452,3.438549,,,,,,,1.45,8.18,,,,,8.612,,,,6.18,7.45,,6.2,,,7.42,7.6,,,7.22,,,6.431,6.26,3.3339999,3.19,4.81,4.91,3.907,,5.52,5.515,5.26,7.39,7.45,,4.75,6.1,4.09,4.5539999999999985,,,2.11,,2.61,,,,2.234,1.16,,,1.35,,0.28,,,F8V
08511267+1150345,M67,WG11:WG12:WG13,132.8027916666644,11.842916666666467,243.85591,6030.0,57.0,4.1402216,0.11080552,-0.014,1.12,,,34.408302,0.36413,2.2111110000000003,2.9000683,,,,,,,2.33,8.2,,,,,8.512,,,,6.16,7.49,,6.2,,,7.43,7.52,,,6.95,,,6.431,6.3,3.324,3.17,4.82,4.91,3.967,,5.55,5.5649996,5.29,7.41,7.46,,4.77,6.13,4.13,4.564,,,2.12,,,,,,2.194,1.2,,,1.45,,0.26,,,F8V
08512012+1146417,M67,WG11:WG12:WG13,132.83383333333106,11.7782499999998,246.35004,6069.0,57.0,3.8653793,0.11268585,-0.08,1.3409,,,34.40885,0.36422205,3.2172725,3.5671282,,,,,,,1.93,8.15,,,,,8.532001,,,,6.12,7.42,,6.17,,,7.39,7.53,,,7.06,,,6.3910003,6.25,,3.14,4.75,4.87,3.897,,5.48,5.5049996,5.25,7.35,7.41,,4.7,6.04,4.09,4.494,,,2.06,,2.65,,,,2.174,1.05,,,1.36,,0.17,,,F8V
08514081+1149055,M67,WG11:WG12:WG13,132.92004166666442,11.818194444444243,240.97614,6022.0,57.0,4.2531614,0.11192487,-0.016,1.08,,,34.43885,0.36416644,2.6572726,3.3129847000000003,,,,,,,2.44,8.2,,,,,8.5720005,,,,6.15,7.47,,6.19,,,7.41,7.53,,,7.16,,,6.3710003,6.26,,3.16,4.8,4.88,3.917,,5.53,5.5449996,5.29,7.39,7.46,,4.75,6.11,4.11,4.574,,,2.09,,,,,,2.194,1.22,,,1.43,,0.14,,,F8V
